년월,건설,금융,미디어,바이오,반도체,에너지,유통,자동차,통신,화학
23-May,1,0,1,1,1,0,0,1,1,0
23-Jun,0,0,0,0,1,1,0,1,0,0
23-Jul,0,1,0,1,1,0,0,0,1,0
23-Aug,0,1,0,0,0,0,0,0,1,0
23-Sep,0,1,0,1,0,0,0,0,0,0
23-Oct,1,0,0,0,0,0,1,0,0,1
23-Nov,1,1,1,1,1,1,0,1,1,1
23-Dec,0,1,0,1,1,0,0,1,1,1
24-Jan,1,1,0,0,0,1,1,0,0,0
24-Feb,0,1,1,1,1,1,0,1,1,0
24-Mar,0,0,1,1,1,0,0,0,1,0
24-Apr,1,1,0,0,0,0,0,1,0,0
24-May,0,1,1,0,1,1,0,0,0,1
24-Jun,0,1,0,0,1,1,0,1,1,0
24-Jul,1,1,0,1,0,0,0,0,0,0
24-Aug,1,0,0,1,0,1,1,0,0,0
24-Sep,0,0,0,0,0,0,0,1,1,1
24-Oct,0,1,0,0,0,1,1,0,1,0
24-Nov,1,1,1,0,0,1,0,0,1,0
24-Dec,0,0,1,1,1,0,0,0,0,0
25-Jan,1,1,0,1,1,1,1,1,1,1
25-Feb,1,0,1,1,1,0,1,0,1,1
25-Mar,1,1,0,0,0,1,1,1,0,1
25-Apr,1,1,1,1,0,1,1,0,1,1
