A,B,support,confidence,lift
유통,건설,0.2916666666666667,0.8750000000000001,1.7500000000000002
건설,유통,0.2916666666666667,0.5833333333333334,1.7500000000000002
유통,화학,0.20833333333333334,0.6250000000000001,1.666666666666667
화학,유통,0.20833333333333334,0.5555555555555556,1.6666666666666667
미디어,반도체,0.2916666666666667,0.7777777777777778,1.5555555555555556
반도체,미디어,0.2916666666666667,0.5833333333333334,1.5555555555555556
유통,에너지,0.25,0.75,1.5
에너지,유통,0.25,0.5,1.5
미디어,바이오,0.2916666666666667,0.7777777777777778,1.4358974358974361
바이오,미디어,0.2916666666666667,0.5384615384615385,1.4358974358974361
자동차,반도체,0.2916666666666667,0.7000000000000001,1.4000000000000001
반도체,자동차,0.2916666666666667,0.5833333333333334,1.4000000000000001
반도체,바이오,0.375,0.75,1.3846153846153848
바이오,반도체,0.375,0.6923076923076924,1.3846153846153848
미디어,통신,0.2916666666666667,0.7777777777777778,1.3333333333333333
화학,건설,0.25,0.6666666666666666,1.3333333333333333
화학,자동차,0.20833333333333334,0.5555555555555556,1.3333333333333333
통신,미디어,0.2916666666666667,0.5,1.3333333333333333
건설,화학,0.25,0.5,1.3333333333333333
자동차,화학,0.20833333333333334,0.5,1.3333333333333333
반도체,통신,0.375,0.75,1.2857142857142856
통신,반도체,0.375,0.6428571428571428,1.2857142857142856
에너지,금융,0.4166666666666667,0.8333333333333334,1.2500000000000002
금융,에너지,0.4166666666666667,0.6250000000000001,1.2500000000000002
자동차,통신,0.2916666666666667,0.7000000000000001,1.2
자동차,에너지,0.25,0.6,1.2
통신,자동차,0.2916666666666667,0.5,1.2
에너지,자동차,0.25,0.5,1.2
바이오,통신,0.375,0.6923076923076924,1.1868131868131868
통신,바이오,0.375,0.6428571428571428,1.1868131868131868
미디어,화학,0.16666666666666666,0.4444444444444444,1.1851851851851851
화학,미디어,0.16666666666666666,0.4444444444444444,1.1851851851851851
건설,에너지,0.2916666666666667,0.5833333333333334,1.1666666666666667
에너지,건설,0.2916666666666667,0.5833333333333334,1.1666666666666667
화학,통신,0.25,0.6666666666666666,1.1428571428571428
통신,화학,0.25,0.42857142857142855,1.1428571428571428
미디어,건설,0.20833333333333334,0.5555555555555556,1.1111111111111112
미디어,에너지,0.20833333333333334,0.5555555555555556,1.1111111111111112
화학,반도체,0.20833333333333334,0.5555555555555556,1.1111111111111112
화학,에너지,0.20833333333333334,0.5555555555555556,1.1111111111111112
건설,미디어,0.20833333333333334,0.4166666666666667,1.1111111111111112
반도체,화학,0.20833333333333334,0.4166666666666667,1.1111111111111112
에너지,미디어,0.20833333333333334,0.4166666666666667,1.1111111111111112
에너지,화학,0.20833333333333334,0.4166666666666667,1.1111111111111112
건설,바이오,0.2916666666666667,0.5833333333333334,1.076923076923077
바이오,건설,0.2916666666666667,0.5384615384615385,1.076923076923077
통신,금융,0.4166666666666667,0.7142857142857143,1.0714285714285716
금융,통신,0.4166666666666667,0.6250000000000001,1.0714285714285716
자동차,금융,0.2916666666666667,0.7000000000000001,1.0500000000000003
금융,자동차,0.2916666666666667,0.43750000000000006,1.05
화학,바이오,0.20833333333333334,0.5555555555555556,1.0256410256410258
바이오,화학,0.20833333333333334,0.38461538461538464,1.0256410256410258
건설,금융,0.3333333333333333,0.6666666666666666,1.0
화학,금융,0.25,0.6666666666666666,1.0
에너지,통신,0.2916666666666667,0.5833333333333334,1.0
금융,건설,0.3333333333333333,0.5,1.0
통신,에너지,0.2916666666666667,0.5,1.0
반도체,에너지,0.25,0.5,1.0
에너지,반도체,0.25,0.5,1.0
자동차,건설,0.20833333333333334,0.5,1.0
건설,자동차,0.20833333333333334,0.4166666666666667,1.0
금융,화학,0.25,0.375,1.0
유통,금융,0.20833333333333334,0.6250000000000001,0.9375000000000002
금융,유통,0.20833333333333334,0.31250000000000006,0.9375000000000002
바이오,금융,0.3333333333333333,0.6153846153846154,0.9230769230769231
금융,바이오,0.3333333333333333,0.5,0.9230769230769231
자동차,바이오,0.20833333333333334,0.5,0.9230769230769231
유통,바이오,0.16666666666666666,0.5,0.9230769230769231
바이오,자동차,0.20833333333333334,0.38461538461538464,0.9230769230769231
바이오,유통,0.16666666666666666,0.3076923076923077,0.9230769230769231
반도체,금융,0.2916666666666667,0.5833333333333334,0.8750000000000001
금융,반도체,0.2916666666666667,0.43750000000000006,0.8750000000000001
건설,통신,0.25,0.5,0.8571428571428571
유통,통신,0.16666666666666666,0.5,0.8571428571428571
통신,건설,0.25,0.42857142857142855,0.8571428571428571
통신,유통,0.16666666666666666,0.2857142857142857,0.8571428571428571
금융,미디어,0.20833333333333334,0.31250000000000006,0.8333333333333335
미디어,금융,0.20833333333333334,0.5555555555555556,0.8333333333333334
미디어,자동차,0.125,0.3333333333333333,0.7999999999999999
자동차,미디어,0.125,0.3,0.7999999999999999
에너지,바이오,0.20833333333333334,0.4166666666666667,0.7692307692307693
바이오,에너지,0.20833333333333334,0.38461538461538464,0.7692307692307693
건설,반도체,0.16666666666666666,0.3333333333333333,0.6666666666666666
반도체,건설,0.16666666666666666,0.3333333333333333,0.6666666666666666
유통,미디어,0.08333333333333333,0.25,0.6666666666666666
미디어,유통,0.08333333333333333,0.2222222222222222,0.6666666666666666
유통,자동차,0.08333333333333333,0.25,0.6
자동차,유통,0.08333333333333333,0.19999999999999998,0.6
유통,반도체,0.08333333333333333,0.25,0.5
반도체,유통,0.08333333333333333,0.16666666666666666,0.5
