A,B,support_reported,confidence_reported,lift_reported,support_calculated,confidence_calculated,lift_calculated,support_delta,confidence_delta,lift_delta
미디어,반도체,0.217,0.75,1.677,0.2916666666666667,0.7777777777777778,1.5555555555555556,-0.07466666666666669,-0.02777777777777779,0.12144444444444447
금융,미디어,0.174,0.667,1.438,0.20833333333333334,0.31250000000000006,0.8333333333333335,-0.034333333333333355,0.3545,0.6046666666666665
에너지,금융,0.174,0.667,1.438,0.4166666666666667,0.8333333333333334,1.2500000000000002,-0.2426666666666667,-0.16633333333333333,0.18799999999999972
반도체,바이오,0.174,0.667,1.438,0.375,0.75,1.3846153846153848,-0.201,-0.08299999999999996,0.05338461538461514
유통,화학,0.13,1.0,1.2,0.20833333333333334,0.6250000000000001,1.666666666666667,-0.07833333333333334,0.3749999999999999,-0.466666666666667
통신,화학,0.13,1.0,1.071,0.25,0.42857142857142855,1.1428571428571428,-0.12,0.5714285714285714,-0.07185714285714284
통신,유통,0.13,1.0,1.068,0.16666666666666666,0.2857142857142857,0.8571428571428571,-0.03666666666666665,0.7142857142857143,0.21085714285714297
금융,통신,0.13,0.75,0.938,0.4166666666666667,0.6250000000000001,1.0714285714285716,-0.2866666666666667,0.12499999999999989,-0.13342857142857167
건설,유통,0.13,1.0,0.8,0.2916666666666667,0.5833333333333334,1.7500000000000002,-0.16166666666666668,0.41666666666666663,-0.9500000000000002
바이오,유통,0.13,1.0,0.67,0.16666666666666666,0.3076923076923077,0.9230769230769231,-0.03666666666666665,0.6923076923076923,-0.2530769230769231
