sector,reported_rmse_percent_points,reported_hit_rate,reported_n_months,reconstructed_rmse_percent_points,reconstructed_hit_rate,reconstructed_n_months,rmse_delta_percent_points,hit_rate_delta
건설,0.428,0.5,6,0.42366207912659,0.5,6,-0.004337920873410006,0.0
금융,0.31,0.667,6,0.30565083236933,0.6666666666666666,6,-0.004349167630670003,-0.00033333333333340764
미디어_엔터,0.648,0.667,6,0.63750569136793,0.6666666666666666,6,-0.010494308632070015,-0.00033333333333340764
바이오_제약,0.268,0.167,6,0.28519940767692,0.3333333333333333,6,0.017199407676919964,0.1663333333333333
반도체,0.5,0.5,6,0.44388084143779,0.5,6,-0.05611915856221,0.0
에너지_정유,0.264,0.667,6,0.27293709097001,0.5,6,0.008937090970009998,-0.16700000000000004
유통_소매,0.258,0.667,6,0.27613892905674,0.5,6,0.018138929056739972,-0.16700000000000004
자동차,0.187,0.5,6,0.16857581169303,0.3333333333333333,6,-0.018424188306970013,-0.16666666666666669
통신,0.173,0.333,6,0.19589173956571002,0.5,6,0.02289173956571003,0.16699999999999998
화학,0.56,0.5,6,0.54501809641726,0.5,6,-0.014981903582740097,0.0
